	Sample	GMHI_good	GMHI_bad	Frac_of_core_functions_among_all	Frac_of_core_functions_found	Species_found_together	Contributions_per_species
1978	M0x30MCx3372	0	0	0.6099290780141844	0.5088757396449705	0.36585365853658536	32.107142857142854
1979	M0x30MCx3375	0	0	0.6197183098591549	0.5207100591715976	0.4146341463414634	37.18181818181818
1980	M0x30MCx3412	2	3	0.5721925133689839	0.6331360946745562	0.5853658536585366	34.743589743589745
1981	ESS-0542	0	4	0.5543478260869565	0.6035502958579881	0.5609756097560976	33.04615384615385
1982	ESS-0452	0	4	0.575	0.5443786982248521	0.5121951219512195	41.204081632653065
1983	ESS-0280	3	5	0.5444444444444444	0.5798816568047337	0.6341463414634146	47.622950819672134
1984	ESS-0184	1	3	0.48372093023255813	0.6153846153846154	0.6341463414634146	47.96825396825397
1985	ESS-0513	1	0	0.5611111111111111	0.5976331360946746	0.5609756097560976	41.609756097560975
1986	ESS-0476	1	6	0.5764705882352941	0.5798816568047337	0.5121951219512195	36.15384615384615
1987	ESS-0359	0	4	0.5833333333333334	0.5798816568047337	0.5609756097560976	42.56
1988	ESS-0335	0	2	0.5524861878453039	0.591715976331361	0.5609756097560976	39.40909090909091
1989	ESS-0316	0	7	0.5872093023255814	0.5976331360946746	0.5609756097560976	40.55882352941177
1990	ESS-0296	0	6	0.5611111111111111	0.5976331360946746	0.6341463414634146	38.44642857142857
1991	ESS-0165	0	3	0.5789473684210527	0.5857988165680473	0.5609756097560976	39.31111111111111
1992	ESS-0603	0	8	0.5454545454545454	0.6390532544378699	0.5609756097560976	44.724137931034484
1993	ESS-0596	0	7	0.6	0.621301775147929	0.5121951219512195	44.93877551020408
1994	ESS-0590	0	1	0.546583850931677	0.5207100591715976	0.5609756097560976	40.25
1995	ESS-0586	0	7	0.452991452991453	0.6272189349112426	0.36585365853658536	53.72
1996	ESS-0578	0	0	0.553763440860215	0.6094674556213018	0.17073170731707318	48.375
1997	ESS-0569	1	1	0.5868263473053892	0.5798816568047337	0.5121951219512195	36.08163265306123
1998	ESS-0561	1	3	0.6326530612244898	0.5502958579881657	0.3170731707317073	45.285714285714285
1999	ESS-0555	1	7	0.5520833333333334	0.6272189349112426	0.5609756097560976	39.707317073170735
2000	ESS-0550	0	4	0.5963855421686747	0.5857988165680473	0.4146341463414634	44.07142857142857
2001	ESS-0536	0	4	0.5823529411764706	0.5857988165680473	0.4146341463414634	44.2972972972973
2002	ESS-0531	0	8	0.5914634146341463	0.5739644970414202	0.6341463414634146	38.375
2003	ESS-0526	0	8	0.41762452107279696	0.6449704142011834	0.4634146341463415	45.744680851063826
2004	ESS-0521	1	5	0.5617977528089888	0.591715976331361	0.34146341463414637	50.0
2005	ESS-0506	0	0	0.6349206349206349	0.47337278106508873	0.5609756097560976	40.0
2006	ESS-0501	0	12	0.4251012145748988	0.621301775147929	0.5365853658536586	42.472727272727276
2007	ESS-0496	0	8	0.5657142857142857	0.5857988165680473	0.5121951219512195	41.93023255813954
2008	ESS-0489	0	5	0.5360824742268041	0.6153846153846154	0.5609756097560976	38.59701492537314
2009	ESS-0482	1	7	0.5914634146341463	0.5739644970414202	0.5121951219512195	30.761904761904763
2010	ESS-0473	0	12	0.44841269841269843	0.6686390532544378	0.5121951219512195	48.55813953488372
2011	ESS-0467	1	5	0.5369458128078818	0.6449704142011834	0.5121951219512195	41.63492063492063
2012	ESS-0459	0	5	0.5721925133689839	0.6331360946745562	0.5609756097560976	40.95454545454545
2013	ESS-0447	0	4	0.5657142857142857	0.5857988165680473	0.5121951219512195	41.48717948717949
2014	ESS-0441	0	11	0.521978021978022	0.5621301775147929	0.5121951219512195	39.90196078431372
2015	ESS-0435	0	10	0.5698324022346368	0.6035502958579881	0.5609756097560976	32.771929824561404
2016	ESS-0430	1	2	0.5118483412322274	0.6390532544378699	0.6341463414634146	36.57142857142857
2017	ESS-0425	0	6	0.41825095057034223	0.650887573964497	0.5609756097560976	47.229166666666664
2018	ESS-0419	0	9	0.5323383084577115	0.6331360946745562	0.5609756097560976	45.46
2019	ESS-0410	0	9	0.41603053435114506	0.6449704142011834	0.5609756097560976	39.63793103448276
2020	ESS-0405	0	12	0.3559322033898305	0.621301775147929	0.5121951219512195	62.0
2021	ESS-0400	0	15	0.5073170731707317	0.6153846153846154	0.5121951219512195	48.01470588235294
2022	ESS-0394	0	10	0.531578947368421	0.5976331360946746	0.5609756097560976	46.30357142857143
2023	ESS-0386	1	9	0.48372093023255813	0.6153846153846154	0.5121951219512195	44.58
2024	ESS-0383	0	6	0.41379310344827586	0.6390532544378699	0.4634146341463415	40.53191489361702
2025	ESS-0376	1	7	0.5282051282051282	0.6094674556213018	0.4878048780487805	49.674418604651166
2026	ESS-0371	0	3	0.46875	0.621301775147929	0.5609756097560976	44.564516129032256
2027	ESS-0364	0	4	0.5813953488372093	0.591715976331361	0.5609756097560976	46.04761904761905
2028	ESS-0353	0	4	0.5402298850574713	0.5562130177514792	0.5609756097560976	37.320754716981135
2029	ESS-0347	0	3	0.5483870967741935	0.6035502958579881	0.5609756097560976	38.142857142857146
2030	ESS-0338	1	3	0.4798206278026906	0.6331360946745562	0.6341463414634146	40.55813953488372
2031	ESS-0326	1	2	0.5543478260869565	0.6035502958579881	0.4878048780487805	45.214285714285715
2032	ESS-0321	0	6	0.5773809523809523	0.5739644970414202	0.21951219512195122	36.833333333333336
2033	ESS-0308	0	4	0.5941176470588235	0.5976331360946746	0.4146341463414634	37.883720930232556
2034	ESS-0302	0	11	0.5681818181818182	0.591715976331361	0.4634146341463415	39.27272727272727
2035	ESS-0290	1	8	0.5291005291005291	0.591715976331361	0.5609756097560976	36.758620689655174
2036	ESS-0286	1	3	0.421455938697318	0.650887573964497	0.4634146341463415	49.707317073170735
2037	ESS-0272	0	10	0.4369747899159664	0.6153846153846154	0.4146341463414634	39.148148148148145
2038	ESS-0268	0	7	0.5347593582887701	0.591715976331361	0.6341463414634146	45.233333333333334
2039	ESS-0262	1	7	0.5145631067961165	0.6272189349112426	0.5121951219512195	29.894736842105264
2040	ESS-0254	1	1	0.6049382716049383	0.5798816568047337	0.5609756097560976	41.29545454545455
2041	ESS-0251	0	1	0.4841628959276018	0.6331360946745562	0.5121951219512195	45.326530612244895
2042	ESS-0243	0	7	0.41796875	0.6331360946745562	0.5121951219512195	45.111111111111114
2043	ESS-0237	1	1	0.5473684210526316	0.6153846153846154	0.5609756097560976	46.46938775510204
2044	ESS-0231	0	8	0.5219512195121951	0.6331360946745562	0.5121951219512195	44.25396825396825
2045	ESS-0224	0	7	0.5686274509803921	0.514792899408284	0.4634146341463415	43.55172413793103
2046	ESS-0219	0	7	0.5401069518716578	0.5976331360946746	0.5121951219512195	40.10526315789474
2047	ESS-0215	0	9	0.547486033519553	0.5798816568047337	0.04878048780487805	44.714285714285715
2048	ESS-0208	1	13	0.45643153526970953	0.650887573964497	0.5609756097560976	41.40243902439025
2049	ESS-0202	0	1	0.5642458100558659	0.5976331360946746	0.6341463414634146	44.67857142857143
2050	ESS-0195	1	6	0.4312977099236641	0.6686390532544378	0.5609756097560976	40.93333333333333
2051	ESS-0188	0	3	0.4863636363636364	0.6331360946745562	0.5609756097560976	44.31428571428572
2052	ESS-0177	0	3	0.5445026178010471	0.6153846153846154	0.5365853658536586	38.19298245614035
2053	ESS-0172	0	6	0.5319148936170213	0.591715976331361	0.5121951219512195	33.293103448275865
2054	ESS-0158	0	5	0.41044776119402987	0.650887573964497	0.36585365853658536	83.65
2055	ESS-0155	0	3	0.5489130434782609	0.5976331360946746	0.4634146341463415	40.755102040816325
2056	ESS-0147	0	5	0.559322033898305	0.5857988165680473	0.5609756097560976	47.61702127659574
2057	ESS-0141	0	6	0.41064638783269963	0.6390532544378699	0.5121951219512195	47.0
2058	ESS-0136	0	9	0.5333333333333333	0.6153846153846154	0.5609756097560976	43.61643835616438
2059	ESS-0129	0	2	0.47577092511013214	0.6390532544378699	0.5609756097560976	48.91304347826087
2060	ESS-0123	1	4	0.5306122448979592	0.6153846153846154	0.6341463414634146	41.92857142857143
2061	ESS-0119	0	2	0.5714285714285714	0.591715976331361	0.5609756097560976	47.23529411764706
2062	ESS-0113	0	5	0.5465116279069767	0.5562130177514792	0.5121951219512195	46.2
2063	ESS-0104	0	8	0.5591397849462365	0.6153846153846154	0.5121951219512195	37.94444444444444
2064	ESS-0098	0	3	0.5573770491803278	0.6035502958579881	0.5121951219512195	43.51162790697674
2065	ESS-0093	0	1	0.5478723404255319	0.6094674556213018	0.5609756097560976	47.55555555555556
2066	ESS-0088	0	7	0.5664739884393064	0.5798816568047337	0.6341463414634146	38.416666666666664
2067	ESS-0080	0	1	0.5808383233532934	0.5739644970414202	0.4634146341463415	39.94871794871795
2068	ESS-0077	1	4	0.515	0.6094674556213018	0.6341463414634146	42.80357142857143
